NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL,TOTAL_PROPERTY,PROP_FREIGHT,PROP_BAG,TOTAL_CHARTER,CHARTER_PAX,CHARTER_PROP,TOTAL_MISC_REV,RES_CANCEL_FEES,MISC_OP_REV,PUB_SVC_REVENUE,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,PROMOTION_SALES,GENERAL_ADMIN,GENERAL_SERVICES,DEPREC_AMORT,TRANS_EXPENSES,OP_EXPENSES,INTEREST_LONG_DEBT,INTEREST_EXP_OTH,FOREIGN_EX_GAINS,CAP_GAINS_PROP,CAP_GAINS_OTHER,OTHER_INCOME_NET,NON_OP_INCOME,INCOME_PRE_TAX,INCOME_TAX,INCOME_BEFORE_OTH,DISCONT_OPS,EXTRA_ITEMS,INCOME_TAX_EXTRA,INCOME_TAX_CREDITS,ACCTG_CHANGES,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
-712607.00,-746208.00,,0.00,,352749.00,,,,5050.00,,,19237.00,,1498990.00,1876026.00,226334.00,149045.00,,194639.00,33069.00,154960.00,,65397.00,1798790.00,2622234.00,6615.00,7512.00,-2313.00,0.00,,-145473.00,-133659.00,-879867.00,-167260.00,-712607.00,,,,,,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16196,A,3,3,2023,2
-298791.00,-618862.00,,0.00,,392682.00,,,,14689.00,,,19094.00,,1534404.00,1960869.00,241036.00,152447.00,,189521.00,29102.00,151055.00,,66689.00,1749881.00,2579731.00,12921.00,3033.00,1020.00,0.00,,227880.00,244854.00,-374008.00,-75217.00,-298791.00,,,,,,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16196,A,3,3,2023,1
-294047.62,-294047.62,895106.59,7515.70,,124382.84,8503.14,,0.00,0.00,,676.67,106397.22,0.00,26851.17,1169433.32,630708.76,185401.09,119344.43,179890.88,73398.78,201394.12,0.00,68239.18,5103.70,1463480.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-294047.62,0.00,-294047.62,0.00,0.00,0.00,,0.00,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10049,A,3,3,2023,1
-258801.65,-234102.19,5015655.46,10224.02,,68087.22,210466.52,,17355.33,,,14135.75,2404.92,,1828354.96,7166684.19,2484740.98,719231.35,487044.72,1439040.96,344306.20,447484.94,,358956.18,1119981.05,7400786.38,-262822.70,120053.70,414.55,,,35918.04,-106436.42,-340538.61,-81736.96,-258801.65,,,,-258801.65,,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,0A875,D,3,3,2023,1
-233930.65,-295070.82,1464226.29,0.00,,101.75,104368.02,,224.13,0.00,,10284.49,4639.21,0.00,104844.29,1688688.19,995554.51,191554.60,156726.15,320424.18,92466.13,109021.26,,117395.65,616.53,1983759.01,-35081.00,3599.05,1313.58,690.49,2707.83,-3087.70,-29857.75,-324928.57,-90997.92,-233930.65,0.00,0.00,0.00,0.00,0.00,20409,B6,JetBlue Airways,B6,JetBlue Airways,06673,D,3,3,2023,1
-185853.00,437900.00,5914695.00,9697.00,,60430.00,172908.00,,77822.00,85.00,,21885.00,1021000.00,0.00,2275199.00,9553721.00,2643680.00,762432.00,806149.00,1367143.00,619347.00,614494.00,,417609.00,1884967.00,9115821.00,-186331.00,-12578.00,-9277.00,20193.00,0.00,-538496.00,-726489.00,-288589.00,-102736.00,-185853.00,0.00,0.00,0.00,,0.00,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,01260,D,3,3,2023,1
-153850.00,-274205.00,4697111.00,587.00,,38321.00,15128.00,,5787.00,0.00,,,714492.00,0.00,33340.00,5504766.00,2457115.00,476430.00,435702.00,1066407.00,272711.00,685707.00,,351998.00,32901.00,5778971.00,-61202.00,3871.00,-1099.00,0.00,,135485.00,77055.00,-197150.00,-43300.00,-153850.00,0.00,0.00,0.00,-153850.00,0.00,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,06725,D,3,3,2023,1
-144284.30,-202249.47,0.00,45812.83,,1148549.35,0.00,,0.00,0.00,,0.00,26991.69,0.00,116.89,1221470.75,749468.57,340617.26,0.00,142458.16,1490.51,75939.87,0.00,113745.86,0.00,1423720.22,0.00,5735.79,-721.21,2255.65,0.00,-17474.88,-10204.65,-212454.12,-68169.82,-144284.30,0.00,0.00,0.00,,0.00,19917,5X,United Parcel Service,5X,United Parcel Service,06910,D,3,3,2023,1
-138721.03,-133100.80,1588770.43,7883.09,,164140.00,18393.12,,,,,3608.64,825.09,,48867.65,1832488.01,885720.21,186443.47,226099.81,270020.51,103863.32,122880.89,,141828.21,28732.39,1965588.81,-110009.45,43817.81,5466.92,,,11130.13,-49594.59,-182695.39,-43974.37,-138721.03,,,,-138721.03,,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10874,A,3,3,2023,1
-134439.12,-134090.48,0.00,0.00,89157.74,89157.74,0.00,237394.36,30103.74,207290.62,5812.63,0.00,5812.63,0.00,0.00,332364.73,291227.18,56878.63,5775.12,56286.01,6867.58,29042.88,,20307.12,70.71,466455.21,447.03,0.00,-102.66,-0.76,0.00,-181.76,161.85,-133928.63,510.49,-134439.12,0.00,0.00,0.00,-134439.12,0.00,20007,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,06087,D,3,3,2023,1
-125149.82,-140771.45,418162.93,116.22,,17969.00,14724.88,,709.12,0.00,,112.95,4316.75,0.00,29117.45,485229.31,280242.99,71094.81,59019.52,101499.23,32256.30,50570.90,,29511.60,1805.41,626000.76,-16057.13,-556.91,2360.61,857.79,11.21,7619.62,-5764.80,-146536.26,-21386.44,-125149.82,0.00,0.00,0.00,,0.00,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,05375,D,3,3,2023,1
-123079.00,-12145.00,1137211.00,8075.00,,89154.00,17986.00,,4090.00,15.00,,3056.00,221838.00,0.00,8494.00,1489919.00,682242.00,127896.00,145538.00,246816.00,111813.00,110937.00,,69784.00,7038.00,1502064.00,-33639.00,-2271.00,0.00,3646.00,0.00,-97217.00,-129481.00,-141626.00,-18547.00,-123079.00,0.00,0.00,0.00,,0.00,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10261,A,3,3,2023,1
-119569.00,-121537.00,1452979.00,9264.00,,19740.00,68918.00,,4989.00,241.00,,46332.00,33608.00,2714.00,428892.00,2067678.00,810794.00,170013.00,165365.00,316973.00,103500.00,196193.00,,86258.00,340119.00,2189215.00,-22379.00,5691.00,0.00,-5029.00,-27895.00,10374.00,-39237.00,-160774.00,-41205.00,-119569.00,0.00,0.00,0.00,,0.00,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,06031,D,3,3,2023,1
-113386.00,-208492.00,,0.00,,806991.00,,,,504.00,,,2978.00,,505583.00,1316056.00,392789.00,99384.00,,191639.00,29895.00,174687.00,,79880.00,556274.00,1524548.00,2.00,2799.00,941.00,0.00,,12532.00,16274.00,-192218.00,-78832.00,-113386.00,,,,,,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16197,P,3,3,2023,1
-102056.73,-130756.26,0.00,39863.56,,1020373.52,0.00,,0.00,0.00,,0.00,21653.69,0.00,110.21,1082000.98,629453.38,286094.66,0.00,128104.21,1424.36,66445.37,0.00,101235.27,0.00,1212757.24,0.00,6493.10,-1082.98,-56.96,0.00,-15566.67,-10213.50,-140969.77,-38913.04,-102056.73,0.00,0.00,0.00,,0.00,19917,5X,United Parcel Service,5X,United Parcel Service,06910,D,3,3,2023,2
-101340.00,-245597.00,,0.00,,794930.00,,,,3384.00,,,2994.00,,494691.00,1295999.00,376130.00,114072.00,,192133.00,31119.00,182602.00,,78725.00,566815.00,1541596.00,-2123.00,6932.00,-2134.00,0.00,,55451.00,58126.00,-187471.00,-86131.00,-101340.00,,,,,,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16197,P,3,3,2023,2
-100168.00,-90197.24,0.00,0.00,95938.56,95938.56,0.00,258112.12,29619.60,228492.53,7768.73,0.00,7768.73,0.00,0.00,361819.41,141010.51,38850.27,6231.13,53707.95,4279.97,184472.78,,23402.15,61.89,452016.65,-1115.82,0.00,-45.93,0.00,0.00,-150.55,-1312.30,-91509.55,8658.45,-100168.00,0.00,0.00,0.00,-100168.00,0.00,20007,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,06087,D,3,3,2023,2
-90506.64,-97896.70,608244.59,0.00,,0.00,223586.77,,0.00,0.00,,25230.28,316621.40,0.00,1970.29,1175653.34,715611.16,71797.46,60194.01,97350.51,41823.24,218843.15,0.00,67930.50,0.00,1273550.03,0.00,-25007.16,-340.88,0.00,0.00,-130.65,-25478.70,-123375.39,-32868.75,-90506.64,0.00,0.00,0.00,,0.00,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,06830,D,3,3,2023,1
-89175.51,-89330.76,143826.04,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,143826.04,116882.94,69991.60,25028.93,751.19,0.00,17392.18,0.00,3109.96,0.00,233156.80,-17.98,0.00,0.00,0.00,0.00,173.23,155.25,-89175.51,0.00,-89175.51,0.00,0.00,0.00,,0.00,20363,9E,Endeavor Air Inc.,9E,Endeavor Air Inc.,07024,D,2,2,2023,1
-85584.19,-87176.94,135872.16,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,135872.16,105987.33,70801.01,25738.00,999.04,0.00,17466.73,0.00,2056.98,0.00,223049.09,-17.10,0.00,0.00,0.00,0.00,1609.85,1592.75,-85584.19,0.00,-85584.19,0.00,0.00,0.00,,0.00,20363,9E,Endeavor Air Inc.,9E,Endeavor Air Inc.,07024,D,2,2,2023,2
-76480.00,-107080.00,,0.00,,150538.00,,,,485.00,,,19625.00,,183642.00,354290.00,61485.00,12901.00,,98228.00,18638.00,49204.00,,19171.00,201743.00,461370.00,5.00,2115.00,-651.00,0.00,,-10601.00,-9132.00,-116212.00,-39732.00,-76480.00,,,,,,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16195,L,3,3,2023,2
-74171.00,-80155.00,,0.00,,147027.00,,,,621.00,,,17170.00,,177559.00,342377.00,65281.00,12668.00,,89468.00,19516.00,45328.00,,16275.00,173996.00,422532.00,405.00,854.00,287.00,0.00,,-34079.00,-32533.00,-112688.00,-38517.00,-74171.00,,,,,,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16195,L,3,3,2023,1
-50176.05,-59559.69,513629.92,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,39241.67,11342.69,564214.28,292413.96,182215.38,46555.56,32137.82,422.60,32282.31,0.00,37746.33,0.00,623773.96,-3986.55,0.00,0.00,1661.17,0.00,969.22,-1356.16,-60915.85,-10739.79,-50176.05,0.00,0.00,0.00,,0.00,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,06700,D,3,3,2023,1
-47924.59,-48022.86,21073.43,0.00,,0.00,29845.23,,16418.60,0.00,,0.00,40.35,0.00,0.00,67377.61,32724.82,6492.84,0.00,0.00,0.00,0.00,74944.39,1238.42,0.00,115400.47,-64.18,0.00,0.00,0.00,0.00,162.45,98.27,-47924.59,0.00,-47924.59,0.00,0.00,0.00,,0.00,22080,MX,Breeze Aviation Group DBA  Breeze,MX,Breeze Aviation Group DBA  Breeze,01268,D,1,1,2023,1
-40824.85,-19993.67,0.00,0.00,,0.00,0.00,,0.00,36487.93,,0.00,1173.77,0.00,0.00,37661.70,25995.62,3833.42,0.00,4024.74,0.00,10551.81,0.00,13249.77,0.00,57655.37,0.00,-14081.01,-9.76,0.00,0.00,5.75,-14085.02,-34078.69,-42.10,-34036.59,0.00,-6788.26,0.00,,0.00,21629,KD,Western Global,KD,Western Global,11042,I,2,2,2023,1
-37667.21,-4517.97,103912.28,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,103912.28,41190.67,36751.17,4697.19,481.74,0.00,11493.07,0.00,13816.41,0.00,108430.25,0.00,-10865.68,0.00,0.00,0.00,-22283.57,-33149.24,-37667.21,0.00,-37667.21,0.00,0.00,0.00,,0.00,20378,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,06689,D,2,2,2023,2
-29178.25,-28946.14,0.00,0.00,,0.00,0.00,,0.00,64307.32,,0.00,28.73,0.00,0.00,64336.05,76965.67,4455.05,0.00,6761.92,0.00,4218.82,,880.73,0.00,93282.19,-26.84,0.00,-81.74,0.00,0.00,-123.52,-232.10,-29178.25,0.00,-29178.25,0.00,0.00,0.00,,0.00,20405,N8,National Air Cargo Group Inc d/ba National Airlines,N8,National Air Cargo Group Inc d/ba National Airline,11049,I,2,2,2023,1
-28030.91,-28004.59,44201.32,0.00,,0.00,50657.21,,4965.73,0.00,,0.00,50.98,0.00,0.00,99875.24,33805.51,5394.49,0.00,0.00,0.00,0.00,86919.35,1760.48,0.00,127879.82,-62.40,0.00,0.00,0.00,0.00,36.08,-26.32,-28030.91,0.00,-28030.91,0.00,0.00,0.00,,0.00,22080,MX,Breeze Aviation Group DBA  Breeze,MX,Breeze Aviation Group DBA  Breeze,01268,D,1,1,2023,2
-25732.35,-25732.35,211237.52,1080.27,,17770.59,1414.40,,0.00,0.00,,160.05,26265.74,0.00,6640.90,264569.46,118500.30,38259.85,24615.25,37116.91,15123.68,41547.69,0.00,14084.20,1053.94,290301.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-25732.35,0.00,-25732.35,0.00,0.00,0.00,,0.00,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10052,P,3,3,2023,1
-24545.58,2448.25,113384.82,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,113384.82,44862.24,31994.48,4916.28,68.78,0.00,13820.11,0.00,15274.69,0.00,110936.57,0.00,-12101.72,0.00,0.00,0.00,-14892.12,-26993.84,-24545.58,0.00,-24545.58,0.00,0.00,0.00,,0.00,20378,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,06689,D,2,2,2023,1
-20981.81,-17507.37,0.00,0.00,,0.00,0.00,,47688.07,11039.51,,0.00,3417.97,0.00,0.00,62145.55,31075.79,12224.23,0.00,3391.10,88.89,24087.48,0.00,8785.44,0.00,79652.93,-2663.22,0.00,0.00,-811.21,0.00,0.00,-3474.44,-20981.81,0.00,-20981.81,0.00,0.00,0.00,,0.00,21161,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Easte",01130,D,2,2,2023,2
-20210.44,-30215.14,539456.18,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,33755.79,8398.42,581610.38,255859.34,200421.95,49993.85,30326.51,494.19,37366.39,0.00,37363.27,0.00,611825.52,-4570.91,0.00,0.00,1497.22,0.00,677.01,-2396.69,-32611.83,-12401.39,-20210.44,0.00,0.00,0.00,,0.00,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,06700,D,3,3,2023,2
-19084.41,-25464.31,,388.89,,171124.26,,,,147234.44,,,,,24473.82,343221.41,137400.88,97762.84,,23380.88,8648.99,8417.20,,18496.10,74578.82,368685.71,-117.14,4289.67,,2218.49,,-5.84,6385.18,-19079.13,5.28,,,,,,,20370,KAQ,Kalitta Air LLC,KAQ,Kalitta Air LLC,16683,I,3,3,2023,1
-18670.00,-22342.00,117311.00,0.00,,-88.00,5564.00,,403.00,19.00,,3741.00,0.00,0.00,0.00,126951.00,65462.00,13727.00,13351.00,25592.00,8356.00,15840.00,,6964.00,0.00,149293.00,-1807.00,460.00,0.00,0.00,-2252.00,838.00,-2762.00,-25104.00,-6434.00,-18670.00,0.00,0.00,0.00,,0.00,19930,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,16031,L,3,3,2023,1
-15075.07,-11566.80,10779.05,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,10779.05,4217.64,14950.73,509.60,50.98,0.00,1216.34,0.00,1400.56,0.00,22345.85,0.00,-1149.94,0.00,0.00,0.00,-2358.33,-3508.27,-15075.07,0.00,-15075.07,0.00,0.00,0.00,,0.00,20378,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,11022,L,2,2,2023,2
-14933.77,-14933.77,246933.95,1426.35,,21274.84,1381.18,,0.00,0.00,,161.19,26601.13,0.00,6716.09,304494.72,125402.45,43260.29,28048.11,40642.13,17556.01,48816.36,0.00,14831.01,872.16,319428.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-14933.77,0.00,-14933.77,0.00,0.00,0.00,,0.00,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10052,P,3,3,2023,2
-13696.37,-11625.51,8449.06,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,8449.06,3310.43,14175.83,386.33,5.28,0.00,1060.22,0.00,1136.49,0.00,20074.58,0.00,-928.40,0.00,0.00,0.00,-1142.46,-2070.86,-13696.37,0.00,-13696.37,0.00,0.00,0.00,,0.00,20378,YV,Mesa Airlines Inc.,YV,Mesa Airlines Inc.,11022,L,2,2,2023,1
-13404.54,-14499.05,90084.45,0.00,,0.00,33114.46,,0.00,0.00,,3736.75,46893.41,0.00,291.81,174120.87,105986.04,10633.61,8915.07,14418.16,6194.26,32411.90,0.00,10060.89,0.00,188619.93,0.00,-3703.70,-50.49,0.00,0.00,-19.35,-3773.54,-18272.59,-4868.05,-13404.54,0.00,0.00,0.00,,0.00,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,16831,L,3,3,2023,1
-13126.05,-6397.04,16293.04,0.00,,0.00,2154.55,,1326.25,0.00,,0.00,506.62,0.00,0.00,20280.47,12384.01,3809.13,0.00,0.00,0.00,0.00,9987.30,497.08,0.00,26677.51,0.00,-6579.53,0.00,0.00,0.00,-149.47,-6729.01,-13126.05,0.00,-13126.05,0.00,0.00,0.00,,0.00,20401,3M,Silver Airways,3M,Silver Airways,06888,D,1,1,2023,1
-13019.37,-24518.16,474549.02,0.00,,0.00,204338.62,,0.00,0.00,,62649.22,24754.83,0.00,14416.79,780708.48,518505.18,58923.58,42978.21,117713.20,41244.47,15074.06,0.00,10787.94,0.00,805226.64,-3995.41,11527.89,0.00,0.00,0.00,0.00,7532.48,-16985.69,-3966.32,-13019.37,0.00,0.00,0.00,,0.00,20436,F9,Frontier Airlines Inc.,F9,Frontier Airlines Inc.,06460,D,3,3,2023,1
-11944.81,-11987.73,0.00,5148.55,,3512.85,0.00,,0.00,9159.43,,0.00,358.72,0.00,34.43,18213.98,8968.63,12498.03,0.00,2988.97,173.44,2402.79,0.00,3169.85,0.00,30201.71,0.00,0.00,0.00,0.00,0.00,42.92,42.92,-11944.81,0.00,-11944.81,0.00,0.00,0.00,,0.00,20169,L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,06699,D,2,2,2023,1
-11376.00,-6674.00,77853.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,77.00,0.00,0.00,77930.00,26273.00,21501.00,5454.00,6597.00,0.00,14314.00,0.00,10465.00,0.00,84605.00,-3672.00,-4664.00,0.00,768.00,0.00,100.00,-7469.00,-14143.00,-2767.00,-11376.00,0.00,0.00,0.00,,0.00,19687,QX,Horizon Air,QX,Horizon Air,06580,D,2,2,2023,1
-10017.40,-13818.14,50969.78,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,102.07,51071.85,22347.00,24033.64,2418.79,1049.66,0.00,9668.74,0.00,5358.79,13.38,64889.99,-12.07,0.00,0.00,-3.90,-101.11,951.17,834.10,-12984.05,-2966.65,-10017.40,0.00,0.00,0.00,,0.00,20046,ZW,Air Wisconsin Airlines Corp,ZW,Air Wisconsin Airlines Corp,06024,D,2,2,2023,2
-9926.79,-9765.26,29171.67,0.00,,0.00,0.00,,6357.43,0.00,,0.00,260.41,0.00,22697.20,58486.71,39357.92,7904.14,0.00,0.00,0.00,0.00,20276.95,521.70,191.26,68251.97,-161.40,0.00,0.00,0.00,0.00,0.14,-161.26,-9926.52,0.27,-9926.79,0.00,0.00,0.00,,0.00,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,TEM Enterprises dba  Avelo Airlines,06144,D,1,1,2023,1
-9901.17,-2792.06,17546.22,0.00,,0.00,2437.78,,1505.67,0.00,,0.00,511.16,0.00,0.00,22000.83,11461.89,2723.05,0.00,0.00,0.00,0.00,10073.14,534.82,0.00,24792.89,0.00,-6933.28,0.00,0.00,0.00,-175.82,-7109.11,-9901.17,0.00,-9901.17,0.00,0.00,0.00,,0.00,20401,3M,Silver Airways,3M,Silver Airways,06888,D,1,1,2023,2
-8871.67,-6057.08,0.00,0.00,,33096.70,0.00,,0.00,33306.50,,0.00,388.88,0.00,2454.35,69246.42,43355.69,11077.22,,7467.64,147.71,8051.14,,1987.19,3216.92,75303.50,-2283.05,-259.10,0.00,0.00,0.00,-223.04,-2765.19,-8822.27,49.40,-8871.67,0.00,0.00,0.00,,0.00,20151,M6,Amerijet International,M6,Amerijet International,06052,D,2,2,2023,1
-8700.51,-8468.41,0.00,0.00,,0.00,0.00,,20812.73,0.00,,0.00,215.06,0.00,0.00,21027.79,24085.90,704.09,1454.47,1357.48,0.00,1560.14,,334.12,0.00,29496.20,-26.84,0.00,-81.74,0.00,0.00,-123.52,-232.10,-8700.51,0.00,-8700.51,0.00,0.00,0.00,,0.00,20405,N8,National Air Cargo Group Inc d/ba National Airlines,N8,National Air Cargo Group Inc d/ba National Airline,07029,D,2,2,2023,1
